15 Minutes,Lane 1 Flow (Veh/15 Minutes),direction
1/10/2006 00:00,66,E
1/10/2006 00:15,76,E
1/10/2006 00:30,45,E
1/10/2006 00:45,39,E
1/10/2006 01:00,44,E
1/10/2006 01:15,46,E
1/10/2006 01:30,33,E
1/10/2006 01:45,39,E
1/10/2006 02:00,40,E
1/10/2006 02:15,29,E
1/10/2006 02:30,32,E
1/10/2006 02:45,27,E
1/10/2006 03:00,33,E
1/10/2006 03:15,31,E
1/10/2006 03:30,24,E
1/10/2006 03:45,29,E
1/10/2006 04:00,27,E
1/10/2006 04:15,34,E
1/10/2006 04:30,23,E
1/10/2006 04:45,36,E
1/10/2006 05:00,33,E
1/10/2006 05:15,19,E
1/10/2006 05:30,36,E
1/10/2006 05:45,30,E
1/10/2006 06:00,37,E
1/10/2006 06:15,48,E
1/10/2006 06:30,52,E
1/10/2006 06:45,37,E
1/10/2006 07:00,45,E
1/10/2006 07:15,45,E
1/10/2006 07:30,71,E
1/10/2006 07:45,66,E
1/10/2006 08:00,70,E
1/10/2006 08:15,101,E
1/10/2006 08:30,100,E
1/10/2006 08:45,103,E
1/10/2006 09:00,111,E
1/10/2006 09:15,122,E
1/10/2006 09:30,146,E
1/10/2006 09:45,170,E
1/10/2006 10:00,170,E
1/10/2006 10:15,169,E
1/10/2006 10:30,148,E
1/10/2006 10:45,197,E
1/10/2006 11:00,154,E
1/10/2006 11:15,175,E
1/10/2006 11:30,182,E
1/10/2006 11:45,179,E
1/10/2006 12:00,184,E
1/10/2006 12:15,198,E
1/10/2006 12:30,189,E
1/10/2006 12:45,200,E
1/10/2006 13:00,210,E
1/10/2006 13:15,226,E
1/10/2006 13:30,192,E
1/10/2006 13:45,163,E
1/10/2006 14:00,185,E
1/10/2006 14:15,173,E
1/10/2006 14:30,168,E
1/10/2006 14:45,125,E
1/10/2006 15:00,176,E
1/10/2006 15:15,163,E
1/10/2006 15:30,203,E
1/10/2006 15:45,176,E
1/10/2006 16:00,191,E
1/10/2006 16:15,196,E
1/10/2006 16:30,171,E
1/10/2006 16:45,174,E
1/10/2006 17:00,220,E
1/10/2006 17:15,185,E
1/10/2006 17:30,201,E
1/10/2006 17:45,184,E
1/10/2006 18:00,153,E
1/10/2006 18:15,186,E
1/10/2006 18:30,140,E
1/10/2006 18:45,117,E
1/10/2006 19:00,126,E
1/10/2006 19:15,93,E
1/10/2006 19:30,90,E
1/10/2006 19:45,82,E
1/10/2006 20:00,81,E
1/10/2006 20:15,40,E
1/10/2006 20:30,83,E
1/10/2006 20:45,52,E
1/10/2006 21:00,80,E
1/10/2006 21:15,81,E
1/10/2006 21:30,91,E
1/10/2006 21:45,73,E
1/10/2006 22:00,65,E
1/10/2006 22:15,58,E
1/10/2006 22:30,53,E
1/10/2006 22:45,54,E
1/10/2006 23:00,35,E
1/10/2006 23:15,25,E
1/10/2006 23:30,25,E
1/10/2006 23:45,26,E
2/10/2006 00:00,24,E
2/10/2006 00:15,20,E
2/10/2006 00:30,11,E
2/10/2006 00:45,13,E
2/10/2006 01:00,20,E
2/10/2006 01:15,10,E
2/10/2006 01:30,13,E
2/10/2006 01:45,14,E
2/10/2006 02:00,8,E
2/10/2006 02:15,10,E
2/10/2006 02:30,11,E
2/10/2006 02:45,15,E
2/10/2006 03:00,4,E
2/10/2006 03:15,6,E
2/10/2006 03:30,11,E
2/10/2006 03:45,17,E
2/10/2006 04:00,16,E
2/10/2006 04:15,16,E
2/10/2006 04:30,9,E
2/10/2006 04:45,35,E
2/10/2006 05:00,41,E
2/10/2006 05:15,53,E
2/10/2006 05:30,70,E
2/10/2006 05:45,83,E
2/10/2006 06:00,98,E
2/10/2006 06:15,150,E
2/10/2006 06:30,190,E
2/10/2006 06:45,255,E
2/10/2006 07:00,323,E
2/10/2006 07:15,295,E
2/10/2006 07:30,331,E
2/10/2006 07:45,345,E
2/10/2006 08:00,318,E
2/10/2006 08:15,340,E
2/10/2006 08:30,263,E
2/10/2006 08:45,375,E
2/10/2006 09:00,250,E
2/10/2006 09:15,276,E
2/10/2006 09:30,197,E
2/10/2006 09:45,221,E
2/10/2006 10:00,184,E
2/10/2006 10:15,163,E
2/10/2006 10:30,127,E
2/10/2006 10:45,186,E
2/10/2006 11:00,141,E
2/10/2006 11:15,128,E
2/10/2006 11:30,164,E
2/10/2006 11:45,207,E
2/10/2006 12:00,208,E
2/10/2006 12:15,187,E
2/10/2006 12:30,118,E
2/10/2006 12:45,161,E
2/10/2006 13:00,145,E
2/10/2006 13:15,187,E
2/10/2006 13:30,203,E
2/10/2006 13:45,171,E
2/10/2006 14:00,160,E
2/10/2006 14:15,173,E
2/10/2006 14:30,191,E
2/10/2006 14:45,186,E
2/10/2006 15:00,185,E
2/10/2006 15:15,184,E
2/10/2006 15:30,177,E
2/10/2006 15:45,197,E
2/10/2006 16:00,218,E
2/10/2006 16:15,242,E
2/10/2006 16:30,264,E
2/10/2006 16:45,202,E
2/10/2006 17:00,288,E
2/10/2006 17:15,298,E
2/10/2006 17:30,252,E
2/10/2006 17:45,275,E
2/10/2006 18:00,249,E
2/10/2006 18:15,203,E
2/10/2006 18:30,179,E
2/10/2006 18:45,193,E
2/10/2006 19:00,136,E
2/10/2006 19:15,149,E
2/10/2006 19:30,119,E
2/10/2006 19:45,98,E
2/10/2006 20:00,78,E
2/10/2006 20:15,78,E
2/10/2006 20:30,96,E
2/10/2006 20:45,82,E
2/10/2006 21:00,73,E
2/10/2006 21:15,85,E
2/10/2006 21:30,75,E
2/10/2006 21:45,81,E
2/10/2006 22:00,65,E
2/10/2006 22:15,66,E
2/10/2006 22:30,51,E
2/10/2006 22:45,43,E
2/10/2006 23:00,34,E
2/10/2006 23:15,35,E
2/10/2006 23:30,29,E
2/10/2006 23:45,20,E
3/10/2006 00:00,23,E
3/10/2006 00:15,13,E
3/10/2006 00:30,10,E
3/10/2006 00:45,12,E
3/10/2006 01:00,8,E
3/10/2006 01:15,6,E
3/10/2006 01:30,11,E
3/10/2006 01:45,11,E
3/10/2006 02:00,10,E
3/10/2006 02:15,11,E
3/10/2006 02:30,12,E
3/10/2006 02:45,6,E
3/10/2006 03:00,9,E
3/10/2006 03:15,10,E
3/10/2006 03:30,6,E
3/10/2006 03:45,11,E
3/10/2006 04:00,10,E
3/10/2006 04:15,10,E
3/10/2006 04:30,19,E
3/10/2006 04:45,26,E
3/10/2006 05:00,40,E
3/10/2006 05:15,53,E
3/10/2006 05:30,79,E
3/10/2006 05:45,76,E
3/10/2006 06:00,122,E
3/10/2006 06:15,221,E
3/10/2006 06:30,256,E
3/10/2006 06:45,325,E
3/10/2006 07:00,328,E
3/10/2006 07:15,333,E
3/10/2006 07:30,378,E
3/10/2006 07:45,303,E
3/10/2006 08:00,368,E
3/10/2006 08:15,327,E
3/10/2006 08:30,307,E
3/10/2006 08:45,308,E
3/10/2006 09:00,283,E
3/10/2006 09:15,263,E
3/10/2006 09:30,278,E
3/10/2006 09:45,255,E
3/10/2006 10:00,210,E
3/10/2006 10:15,203,E
3/10/2006 10:30,224,E
3/10/2006 10:45,192,E
3/10/2006 11:00,180,E
3/10/2006 11:15,200,E
3/10/2006 11:30,209,E
3/10/2006 11:45,199,E
3/10/2006 12:00,189,E
3/10/2006 12:15,219,E
3/10/2006 12:30,196,E
3/10/2006 12:45,180,E
3/10/2006 13:00,189,E
3/10/2006 13:15,191,E
3/10/2006 13:30,207,E
3/10/2006 13:45,173,E
3/10/2006 14:00,174,E
3/10/2006 14:15,183,E
3/10/2006 14:30,174,E
3/10/2006 14:45,167,E
3/10/2006 15:00,201,E
