15 Minutes,Lane 1 Flow (Veh/15 Minutes)
1/10/2006 1,86
2/10/2006 1,32
3/10/2006 1,26
4/10/2006 1,32
5/10/2006 1,40
6/10/2006 1,36
7/10/2006 1,62
8/10/2006 1,116
9/10/2006 1,23
10/10/2006 1,27
11/10/2006 1,38
12/10/2006 1,28
13/10/2006 1,34
14/10/2006 1,61
15/10/2006 1,97
16/10/2006 1,18
17/10/2006 1,20
18/10/2006 1,39
19/10/2006 1,29
20/10/2006 1,50
21/10/2006 1,64
22/10/2006 1,107
23/10/2006 1,33
24/10/2006 1,25
25/10/2006 1,32
26/10/2006 1,40
27/10/2006 1,30
28/10/2006 1,67
29/10/2006 1,94
30/10/2006 1,44
31/10/2006 1,35
1/10/2006 1,37
2/10/2006 1,10
3/10/2006 1,8
4/10/2006 1,6
5/10/2006 1,10
6/10/2006 1,9
7/10/2006 1,27
8/10/2006 1,40
9/10/2006 1,9
10/10/2006 1,8
11/10/2006 1,13
12/10/2006 1,8
13/10/2006 1,15
14/10/2006 1,32
15/10/2006 1,29
16/10/2006 1,11
17/10/2006 1,11
18/10/2006 1,22
19/10/2006 1,12
20/10/2006 1,12
21/10/2006 1,24
22/10/2006 1,40
23/10/2006 1,13
24/10/2006 1,8
25/10/2006 1,12
26/10/2006 1,10
27/10/2006 1,17
28/10/2006 1,25
29/10/2006 1,37
30/10/2006 1,11
31/10/2006 1,11
1/10/2006 1,92
2/10/2006 1,31
3/10/2006 1,20
4/10/2006 1,32
5/10/2006 1,42
6/10/2006 1,31
7/10/2006 1,87
8/10/2006 1,108
9/10/2006 1,32
10/10/2006 1,29
11/10/2006 1,24
12/10/2006 1,40
13/10/2006 1,46
14/10/2006 1,78
15/10/2006 1,115
16/10/2006 1,21
17/10/2006 1,27
18/10/2006 1,40
19/10/2006 1,50
20/10/2006 1,40
21/10/2006 1,87
22/10/2006 1,111
23/10/2006 1,42
24/10/2006 1,35
25/10/2006 1,30
26/10/2006 1,39
27/10/2006 1,52
28/10/2006 1,84
29/10/2006 1,141
30/10/2006 1,41
31/10/2006 1,34
1/10/2006 1,47
2/10/2006 1,15
3/10/2006 1,10
5/10/2006 1,20
6/10/2006 1,16
7/10/2006 1,42
8/10/2006 1,67
9/10/2006 1,23
10/10/2006 1,16
11/10/2006 1,22
12/10/2006 1,18
13/10/2006 1,16
14/10/2006 1,49
15/10/2006 1,66
16/10/2006 1,18
17/10/2006 1,11
18/10/2006 1,22
19/10/2006 1,20
20/10/2006 1,29
21/10/2006 1,51
22/10/2006 1,60
23/10/2006 1,18
24/10/2006 1,27
25/10/2006 1,22
26/10/2006 1,22
27/10/2006 1,21
28/10/2006 1,51
29/10/2006 1,52
30/10/2006 1,15
31/10/2006 1,15
1/10/2006 2,83
2/10/2006 2,28
3/10/2006 2,32
4/10/2006 2,22
5/10/2006 2,39
6/10/2006 2,30
7/10/2006 2,66
8/10/2006 2,86
9/10/2006 2,28
10/10/2006 2,27
11/10/2006 2,35
12/10/2006 2,26
13/10/2006 2,37
14/10/2006 2,58
15/10/2006 2,86
16/10/2006 2,18
17/10/2006 2,20
18/10/2006 2,28
19/10/2006 2,31
20/10/2006 2,39
21/10/2006 2,59
22/10/2006 2,100
23/10/2006 2,28
24/10/2006 2,27
25/10/2006 2,33
26/10/2006 2,36
27/10/2006 2,31
28/10/2006 2,57
29/10/2006 2,103
30/10/2006 2,37
31/10/2006 2,27
1/10/2006 2,30
2/10/2006 2,10
3/10/2006 2,5
4/10/2006 2,12
5/10/2006 2,13
6/10/2006 2,13
7/10/2006 2,13
8/10/2006 2,36
9/10/2006 2,4
10/10/2006 2,5
11/10/2006 2,8
12/10/2006 2,5
13/10/2006 2,12
14/10/2006 2,30
15/10/2006 2,29
16/10/2006 2,2
17/10/2006 2,11
18/10/2006 2,11
19/10/2006 2,7
20/10/2006 2,10
21/10/2006 2,16
22/10/2006 2,34
23/10/2006 2,4
24/10/2006 2,3
25/10/2006 2,8
26/10/2006 2,9
27/10/2006 2,5
28/10/2006 2,18
29/10/2006 2,32
30/10/2006 2,7
31/10/2006 2,5
1/10/2006 2,93
2/10/2006 2,19
3/10/2006 2,29
4/10/2006 2,30
5/10/2006 2,37
6/10/2006 2,34
7/10/2006 2,62
8/10/2006 2,119
9/10/2006 2,24
10/10/2006 2,34
11/10/2006 2,27
12/10/2006 2,24
13/10/2006 2,42
14/10/2006 2,78
15/10/2006 2,111
16/10/2006 2,29
17/10/2006 2,29
18/10/2006 2,20
19/10/2006 2,35
20/10/2006 2,43
21/10/2006 2,70
22/10/2006 2,107
23/10/2006 2,21
24/10/2006 2,24
25/10/2006 2,31
26/10/2006 2,32
27/10/2006 2,34
28/10/2006 2,88
29/10/2006 2,120
30/10/2006 2,37
31/10/2006 2,40
1/10/2006 2,42
2/10/2006 2,7
3/10/2006 2,8
5/10/2006 2,21
6/10/2006 2,25
7/10/2006 2,47
