SCATS Number,Time Period,Traffic Flow
970,V00,86
970,V00,32
970,V00,26
970,V00,32
970,V00,40
970,V00,36
970,V00,62
970,V00,116
970,V00,23
970,V00,27
970,V00,38
970,V00,28
970,V00,34
970,V00,61
970,V00,97
970,V00,18
970,V00,20
970,V00,39
970,V00,29
970,V00,50
970,V00,64
970,V00,107
970,V00,33
970,V00,25
970,V00,32
970,V00,40
970,V00,30
970,V00,67
970,V00,94
970,V00,44
970,V00,35
970,V00,37
970,V00,10
970,V00,8
970,V00,6
970,V00,10
970,V00,9
970,V00,27
970,V00,40
970,V00,9
970,V00,8
970,V00,13
970,V00,8
970,V00,15
970,V00,32
970,V00,29
970,V00,11
970,V00,11
970,V00,22
970,V00,12
970,V00,12
970,V00,24
970,V00,40
970,V00,13
970,V00,8
970,V00,12
970,V00,10
970,V00,17
970,V00,25
970,V00,37
970,V00,11
970,V00,11
970,V00,92
970,V00,31
970,V00,20
970,V00,32
970,V00,42
970,V00,31
970,V00,87
970,V00,108
970,V00,32
970,V00,29
970,V00,24
970,V00,40
970,V00,46
970,V00,78
970,V00,115
970,V00,21
970,V00,27
970,V00,40
970,V00,50
970,V00,40
970,V00,87
970,V00,111
970,V00,42
970,V00,35
970,V00,30
970,V00,39
970,V00,52
970,V00,84
970,V00,141
970,V00,41
970,V00,34
970,V00,47
970,V00,15
970,V00,10
970,V00,20
970,V00,16
970,V00,42
970,V00,67
970,V00,23
970,V00,16
970,V00,22
970,V00,18
970,V00,16
970,V00,49
970,V00,66
970,V00,18
970,V00,11
970,V00,22
970,V00,20
970,V00,29
970,V00,51
970,V00,60
970,V00,18
970,V00,27
970,V00,22
970,V00,22
970,V00,21
970,V00,51
970,V00,52
970,V00,15
970,V00,15
970,V01,83
970,V01,28
970,V01,32
970,V01,22
970,V01,39
970,V01,30
970,V01,66
970,V01,86
970,V01,28
970,V01,27
970,V01,35
970,V01,26
970,V01,37
970,V01,58
970,V01,86
970,V01,18
970,V01,20
970,V01,28
970,V01,31
970,V01,39
970,V01,59
970,V01,100
970,V01,28
970,V01,27
970,V01,33
970,V01,36
970,V01,31
970,V01,57
970,V01,103
970,V01,37
970,V01,27
970,V01,30
970,V01,10
970,V01,5
970,V01,12
970,V01,13
970,V01,13
970,V01,13
970,V01,36
970,V01,4
970,V01,5
970,V01,8
970,V01,5
970,V01,12
970,V01,30
970,V01,29
970,V01,2
970,V01,11
970,V01,11
970,V01,7
970,V01,10
970,V01,16
970,V01,34
970,V01,4
970,V01,3
970,V01,8
970,V01,9
970,V01,5
970,V01,18
970,V01,32
970,V01,7
970,V01,5
970,V01,93
970,V01,19
970,V01,29
970,V01,30
970,V01,37
970,V01,34
970,V01,62
970,V01,119
970,V01,24
970,V01,34
