15 Minutes,Lane 1 Flow (Veh/15 Minutes)
1/10/2006 00:00,63
1/10/2006 00:15,67
1/10/2006 00:30,62
1/10/2006 00:45,71
1/10/2006 01:00,43
1/10/2006 01:15,38
1/10/2006 01:30,34
1/10/2006 01:45,75
1/10/2006 02:00,32
1/10/2006 02:15,33
1/10/2006 02:30,26
1/10/2006 02:45,36
1/10/2006 03:00,15
1/10/2006 03:15,21
1/10/2006 03:30,24
1/10/2006 03:45,24
1/10/2006 04:00,30
1/10/2006 04:15,25
1/10/2006 04:30,25
1/10/2006 04:45,21
1/10/2006 05:00,15
1/10/2006 05:15,20
1/10/2006 05:30,11
1/10/2006 05:45,18
1/10/2006 06:00,13
1/10/2006 06:15,18
1/10/2006 06:30,18
1/10/2006 06:45,26
1/10/2006 07:00,34
1/10/2006 07:15,33
1/10/2006 07:30,28
1/10/2006 07:45,36
1/10/2006 08:00,41
1/10/2006 08:15,35
1/10/2006 08:30,59
1/10/2006 08:45,53
1/10/2006 09:00,43
1/10/2006 09:15,68
1/10/2006 09:30,45
1/10/2006 09:45,80
1/10/2006 10:00,69
1/10/2006 10:15,117
1/10/2006 10:30,87
1/10/2006 10:45,119
1/10/2006 11:00,100
1/10/2006 11:15,158
1/10/2006 11:30,120
1/10/2006 11:45,137
1/10/2006 12:00,129
1/10/2006 12:15,104
1/10/2006 12:30,129
1/10/2006 12:45,119
1/10/2006 13:00,130
1/10/2006 13:15,96
1/10/2006 13:30,147
1/10/2006 13:45,143
1/10/2006 14:00,151
1/10/2006 14:15,111
1/10/2006 14:30,156
1/10/2006 14:45,154
1/10/2006 15:00,152
1/10/2006 15:15,124
1/10/2006 15:30,184
1/10/2006 15:45,135
1/10/2006 16:00,158
1/10/2006 16:15,116
1/10/2006 16:30,158
1/10/2006 16:45,154
1/10/2006 17:00,136
1/10/2006 17:15,150
1/10/2006 17:30,139
1/10/2006 17:45,160
1/10/2006 18:00,138
1/10/2006 18:15,109
1/10/2006 18:30,105
1/10/2006 18:45,111
