15 Minutes,Lane 1 Flow (Veh/15 Minutes)
1/10/2006 00:00,78
1/10/2006 00:15,101
1/10/2006 00:30,61
1/10/2006 00:45,67
1/10/2006 01:00,58
1/10/2006 01:15,35
1/10/2006 01:30,51
1/10/2006 01:45,38
1/10/2006 02:00,35
1/10/2006 02:15,29
1/10/2006 02:30,25
1/10/2006 02:45,25
1/10/2006 03:00,19
1/10/2006 03:15,25
1/10/2006 03:30,19
1/10/2006 03:45,14
1/10/2006 04:00,16
1/10/2006 04:15,19
1/10/2006 04:30,21
1/10/2006 04:45,17
1/10/2006 05:00,21
1/10/2006 05:15,27
1/10/2006 05:30,41
1/10/2006 05:45,36
1/10/2006 06:00,46
1/10/2006 06:15,61
1/10/2006 06:30,63
1/10/2006 06:45,77
1/10/2006 07:00,67
1/10/2006 07:15,61
1/10/2006 07:30,64
1/10/2006 07:45,73
1/10/2006 08:00,79
1/10/2006 08:15,86
1/10/2006 08:30,133
1/10/2006 08:45,114
1/10/2006 09:00,134
1/10/2006 09:15,137
1/10/2006 09:30,162
1/10/2006 09:45,193
1/10/2006 10:00,188
1/10/2006 10:15,180
1/10/2006 10:30,198
1/10/2006 10:45,198
1/10/2006 11:00,187
1/10/2006 11:15,189
1/10/2006 11:30,186
1/10/2006 11:45,189
1/10/2006 12:00,192
1/10/2006 12:15,216
1/10/2006 12:30,189
1/10/2006 12:45,229
1/10/2006 13:00,182
1/10/2006 13:15,178
1/10/2006 13:30,228
1/10/2006 13:45,226
1/10/2006 14:00,194
1/10/2006 14:15,221
1/10/2006 14:30,179
1/10/2006 14:45,200
1/10/2006 15:00,152
1/10/2006 15:15,183
1/10/2006 15:30,196
1/10/2006 15:45,160
1/10/2006 16:00,170
1/10/2006 16:15,188
1/10/2006 16:30,163
1/10/2006 16:45,187
1/10/2006 17:00,189
1/10/2006 17:15,217
1/10/2006 17:30,217
1/10/2006 17:45,179
1/10/2006 18:00,147
1/10/2006 18:15,174
1/10/2006 18:30,182
1/10/2006 18:45,162
1/10/2006 19:00,155
1/10/2006 19:15,118
1/10/2006 19:30,95
1/10/2006 19:45,89
1/10/2006 20:00,98
1/10/2006 20:15,85
1/10/2006 20:30,81
1/10/2006 20:45,89
1/10/2006 21:00,79
1/10/2006 21:15,122
1/10/2006 21:30,102
1/10/2006 21:45,97
1/10/2006 22:00,71
1/10/2006 22:15,71
1/10/2006 22:30,48
1/10/2006 22:45,52
1/10/2006 23:00,50
1/10/2006 23:15,46
1/10/2006 23:30,40
1/10/2006 23:45,37
2/10/2006 00:00,28
2/10/2006 00:15,26
2/10/2006 00:30,17
2/10/2006 00:45,13
