15 Minutes,Lane 1 Flow (Veh/15 Minutes)
1/10/2006 00:00,53
1/10/2006 00:15,38
1/10/2006 00:30,28
1/10/2006 00:45,31
1/10/2006 01:00,31
1/10/2006 01:15,28
1/10/2006 01:30,39
1/10/2006 01:45,17
1/10/2006 02:00,17
1/10/2006 02:15,16
1/10/2006 02:30,17
1/10/2006 02:45,11
1/10/2006 03:00,17
1/10/2006 03:15,20
1/10/2006 03:30,13
1/10/2006 03:45,21
1/10/2006 04:00,11
1/10/2006 04:15,15
1/10/2006 04:30,9
1/10/2006 04:45,12
1/10/2006 05:00,12
1/10/2006 05:15,11
1/10/2006 05:30,14
1/10/2006 05:45,22
1/10/2006 06:00,11
1/10/2006 06:15,10
1/10/2006 06:30,7
1/10/2006 06:45,17
1/10/2006 07:00,15
1/10/2006 07:15,20
1/10/2006 07:30,9
1/10/2006 07:45,16
1/10/2006 08:00,18
1/10/2006 08:15,23
1/10/2006 08:30,29
1/10/2006 08:45,23
1/10/2006 09:00,27
1/10/2006 09:15,45
1/10/2006 09:30,56
1/10/2006 09:45,56
1/10/2006 10:00,56
1/10/2006 10:15,59
1/10/2006 10:30,70
1/10/2006 10:45,73
1/10/2006 11:00,82
1/10/2006 11:15,88
1/10/2006 11:30,98
1/10/2006 11:45,81
1/10/2006 12:00,104
1/10/2006 12:15,112
1/10/2006 12:30,96
1/10/2006 12:45,91
1/10/2006 13:00,106
1/10/2006 13:15,101
1/10/2006 13:30,101
1/10/2006 13:45,93
1/10/2006 14:00,81
1/10/2006 14:15,85
1/10/2006 14:30,94
1/10/2006 14:45,97
1/10/2006 15:00,76
1/10/2006 15:15,93
1/10/2006 15:30,93
1/10/2006 15:45,68
1/10/2006 16:00,88
1/10/2006 16:15,94
1/10/2006 16:30,71
1/10/2006 16:45,88
1/10/2006 17:00,79
1/10/2006 17:15,91
1/10/2006 17:30,82
1/10/2006 17:45,88
1/10/2006 18:00,58
1/10/2006 18:15,58
1/10/2006 18:30,60
1/10/2006 18:45,56
1/10/2006 19:00,53
1/10/2006 19:15,39
1/10/2006 19:30,60
1/10/2006 19:45,56
1/10/2006 20:00,50
1/10/2006 20:15,45
1/10/2006 20:30,40
1/10/2006 20:45,44
1/10/2006 21:00,41
1/10/2006 21:15,45
1/10/2006 21:30,32
1/10/2006 21:45,36
1/10/2006 22:00,44
1/10/2006 22:15,40
1/10/2006 22:30,37
1/10/2006 22:45,20
1/10/2006 23:00,28
1/10/2006 23:15,17
1/10/2006 23:30,12
1/10/2006 23:45,9
2/10/2006 00:00,17
2/10/2006 00:15,11
2/10/2006 00:30,12
2/10/2006 00:45,14
2/10/2006 01:00,12
2/10/2006 01:15,9
2/10/2006 01:30,3
2/10/2006 01:45,5
2/10/2006 02:00,4
2/10/2006 02:15,4
2/10/2006 02:30,2
2/10/2006 02:45,6
2/10/2006 03:00,2
2/10/2006 03:15,7
2/10/2006 03:30,2
2/10/2006 03:45,5
2/10/2006 04:00,1
2/10/2006 04:15,2
2/10/2006 04:30,4
2/10/2006 04:45,3
2/10/2006 05:00,3
2/10/2006 05:15,5
2/10/2006 05:30,3
2/10/2006 05:45,6
2/10/2006 06:00,11
2/10/2006 06:15,8
2/10/2006 06:30,23
2/10/2006 06:45,26
2/10/2006 07:00,57
2/10/2006 07:15,47
2/10/2006 07:30,64
2/10/2006 07:45,52
2/10/2006 08:00,91
2/10/2006 08:15,101
2/10/2006 08:30,104
2/10/2006 08:45,104
2/10/2006 09:00,61
2/10/2006 09:15,71
2/10/2006 09:30,53
2/10/2006 09:45,64
2/10/2006 10:00,61
2/10/2006 10:15,70
2/10/2006 10:30,67
2/10/2006 10:45,80
2/10/2006 11:00,100
2/10/2006 11:15,71
2/10/2006 11:30,82
2/10/2006 11:45,88
2/10/2006 12:00,108
2/10/2006 12:15,96
2/10/2006 12:30,81
2/10/2006 12:45,74
2/10/2006 13:00,99
2/10/2006 13:15,80
2/10/2006 13:30,78
2/10/2006 13:45,94
2/10/2006 14:00,98
2/10/2006 14:15,90
2/10/2006 14:30,105
2/10/2006 14:45,98
2/10/2006 15:00,98
2/10/2006 15:15,88
2/10/2006 15:30,105
2/10/2006 15:45,114
2/10/2006 16:00,81
2/10/2006 16:15,106
2/10/2006 16:30,131
2/10/2006 16:45,109
2/10/2006 17:00,146
2/10/2006 17:15,157
2/10/2006 17:30,139
2/10/2006 17:45,159
2/10/2006 18:00,159
2/10/2006 18:15,118
2/10/2006 18:30,88
2/10/2006 18:45,86
2/10/2006 19:00,101
2/10/2006 19:15,78
2/10/2006 19:30,84
2/10/2006 19:45,74
2/10/2006 20:00,68
2/10/2006 20:15,58
2/10/2006 20:30,58
2/10/2006 20:45,52
2/10/2006 21:00,61
2/10/2006 21:15,38
2/10/2006 21:30,53
2/10/2006 21:45,50
2/10/2006 22:00,42
2/10/2006 22:15,45
2/10/2006 22:30,32
2/10/2006 22:45,31
2/10/2006 23:00,34
2/10/2006 23:15,26
2/10/2006 23:30,25
2/10/2006 23:45,12
3/10/2006 00:00,7
3/10/2006 00:15,12
3/10/2006 00:30,10
3/10/2006 00:45,4
3/10/2006 01:00,11
3/10/2006 01:15,7
3/10/2006 01:30,3
3/10/2006 01:45,1
3/10/2006 02:00,5
3/10/2006 02:15,6
3/10/2006 02:30,5
3/10/2006 02:45,4
3/10/2006 03:00,2
3/10/2006 03:15,4
3/10/2006 03:30,2
3/10/2006 03:45,1
3/10/2006 04:00,3
3/10/2006 04:15,1
3/10/2006 04:30,4
3/10/2006 04:45,5
3/10/2006 05:00,4
3/10/2006 05:15,11
3/10/2006 05:30,4
3/10/2006 05:45,12
3/10/2006 06:00,7
3/10/2006 06:15,13
3/10/2006 06:30,20
3/10/2006 06:45,24
3/10/2006 07:00,38
3/10/2006 07:15,49
3/10/2006 07:30,61
3/10/2006 07:45,70
3/10/2006 08:00,88
3/10/2006 08:15,102
3/10/2006 08:30,87
3/10/2006 08:45,91
3/10/2006 09:00,73
3/10/2006 09:15,75
3/10/2006 09:30,65
3/10/2006 09:45,73
3/10/2006 10:00,87
3/10/2006 10:15,73
3/10/2006 10:30,73
3/10/2006 10:45,74
3/10/2006 11:00,72
3/10/2006 11:15,70
3/10/2006 11:30,89
3/10/2006 11:45,80
3/10/2006 12:00,94
3/10/2006 12:15,79
3/10/2006 12:30,90
3/10/2006 12:45,101
3/10/2006 13:00,61
3/10/2006 13:15,67
3/10/2006 13:30,76
3/10/2006 13:45,89
3/10/2006 14:00,86
3/10/2006 14:15,104
3/10/2006 14:30,104
3/10/2006 14:45,75
3/10/2006 15:00,97
3/10/2006 15:15,98
3/10/2006 15:30,94
3/10/2006 15:45,92
3/10/2006 16:00,135
3/10/2006 16:15,113
3/10/2006 16:30,119
3/10/2006 16:45,119
3/10/2006 17:00,144
3/10/2006 17:15,128
3/10/2006 17:30,161
3/10/2006 17:45,113
3/10/2006 18:00,152
3/10/2006 18:15,103
3/10/2006 18:30,112
3/10/2006 18:45,107
3/10/2006 19:00,96
3/10/2006 19:15,96
3/10/2006 19:30,75
3/10/2006 19:45,71
3/10/2006 20:00,74
3/10/2006 20:15,87
3/10/2006 20:30,65
3/10/2006 20:45,97
3/10/2006 21:00,82
3/10/2006 21:15,82
3/10/2006 21:30,51
3/10/2006 21:45,75
3/10/2006 22:00,66
3/10/2006 22:15,60
3/10/2006 22:30,63
3/10/2006 22:45,28
3/10/2006 23:00,27
3/10/2006 23:15,45
3/10/2006 23:30,39
3/10/2006 23:45,27
4/10/2006 00:00,21
4/10/2006 00:15,16
4/10/2006 00:30,13
4/10/2006 00:45,5
4/10/2006 01:00,12
4/10/2006 01:15,13
4/10/2006 01:30,8
4/10/2006 01:45,6
4/10/2006 02:00,9
4/10/2006 02:15,3
4/10/2006 02:30,4
4/10/2006 02:45,8
4/10/2006 03:00,2
4/10/2006 03:15,7
4/10/2006 03:30,5
4/10/2006 03:45,9
4/10/2006 04:00,1
4/10/2006 04:15,3
4/10/2006 04:30,5
4/10/2006 04:45,8
4/10/2006 05:00,1
4/10/2006 05:15,6
4/10/2006 05:30,5
4/10/2006 05:45,8
4/10/2006 06:00,6
4/10/2006 06:15,13
4/10/2006 06:30,27
4/10/2006 06:45,20
4/10/2006 07:00,28
4/10/2006 07:15,53
4/10/2006 07:30,70
4/10/2006 07:45,65
4/10/2006 08:00,81
4/10/2006 08:15,87
4/10/2006 08:30,86
4/10/2006 08:45,85
4/10/2006 09:00,56
4/10/2006 09:15,69
4/10/2006 09:30,76
4/10/2006 09:45,80
4/10/2006 10:00,60
4/10/2006 10:15,83
4/10/2006 10:30,98
4/10/2006 10:45,94
4/10/2006 11:00,89
4/10/2006 11:15,87
4/10/2006 11:30,72
4/10/2006 11:45,74
4/10/2006 12:00,82
4/10/2006 12:15,87
4/10/2006 12:30,70
4/10/2006 12:45,82
4/10/2006 13:00,98
4/10/2006 13:15,80
4/10/2006 13:30,102
4/10/2006 13:45,94
4/10/2006 14:00,78
4/10/2006 14:15,101
4/10/2006 14:30,90
4/10/2006 14:45,90
4/10/2006 15:00,96
4/10/2006 15:15,106
4/10/2006 15:30,95
4/10/2006 15:45,111
4/10/2006 16:00,81
4/10/2006 16:15,114
4/10/2006 16:30,131
4/10/2006 16:45,142
4/10/2006 17:00,140
4/10/2006 17:15,138
4/10/2006 17:30,124
4/10/2006 17:45,129
4/10/2006 18:00,141
4/10/2006 18:15,136
4/10/2006 18:30,85
4/10/2006 18:45,65
4/10/2006 19:00,89
