15 Minutes,Lane 1 Flow (Veh/15 Minutes)
1/10/2006 00:00,31
1/10/2006 00:15,36
1/10/2006 00:30,21
1/10/2006 00:45,30
1/10/2006 01:00,19
1/10/2006 01:15,19
1/10/2006 01:30,18
1/10/2006 01:45,19
1/10/2006 02:00,25
1/10/2006 02:15,18
1/10/2006 02:30,12
1/10/2006 02:45,15
1/10/2006 03:00,15
1/10/2006 03:15,10
1/10/2006 03:30,11
1/10/2006 03:45,8
1/10/2006 04:00,7
1/10/2006 04:15,4
1/10/2006 04:30,11
1/10/2006 04:45,10
1/10/2006 05:00,7
1/10/2006 05:15,7
1/10/2006 05:30,16
1/10/2006 05:45,12
1/10/2006 06:00,14
1/10/2006 06:15,16
1/10/2006 06:30,15
1/10/2006 06:45,20
1/10/2006 07:00,13
1/10/2006 07:15,17
1/10/2006 07:30,21
1/10/2006 07:45,34
1/10/2006 08:00,20
1/10/2006 08:15,31
1/10/2006 08:30,46
1/10/2006 08:45,55
1/10/2006 09:00,48
1/10/2006 09:15,55
1/10/2006 09:30,74
1/10/2006 09:45,63
1/10/2006 10:00,82
1/10/2006 10:15,73
1/10/2006 10:30,76
1/10/2006 10:45,95
1/10/2006 11:00,75
1/10/2006 11:15,76
1/10/2006 11:30,79
1/10/2006 11:45,77
1/10/2006 12:00,64
1/10/2006 12:15,115
1/10/2006 12:30,59
1/10/2006 12:45,82
1/10/2006 13:00,72
1/10/2006 13:15,98
1/10/2006 13:30,93
1/10/2006 13:45,83
1/10/2006 14:00,56
1/10/2006 14:15,78
1/10/2006 14:30,81
1/10/2006 14:45,71
1/10/2006 15:00,79
1/10/2006 15:15,69
1/10/2006 15:30,68
1/10/2006 15:45,60
1/10/2006 16:00,71
1/10/2006 16:15,72
1/10/2006 16:30,63
1/10/2006 16:45,53
1/10/2006 17:00,57
1/10/2006 17:15,64
1/10/2006 17:30,91
1/10/2006 17:45,63
1/10/2006 18:00,75
1/10/2006 18:15,65
1/10/2006 18:30,52
1/10/2006 18:45,57
1/10/2006 19:00,49
1/10/2006 19:15,32
1/10/2006 19:30,33
1/10/2006 19:45,44
1/10/2006 20:00,39
1/10/2006 20:15,35
1/10/2006 20:30,22
1/10/2006 20:45,26
1/10/2006 21:00,18
1/10/2006 21:15,28
1/10/2006 21:30,27
1/10/2006 21:45,28
1/10/2006 22:00,16
1/10/2006 22:15,23
1/10/2006 22:30,26
1/10/2006 22:45,8
1/10/2006 23:00,14
1/10/2006 23:15,11
1/10/2006 23:30,12
1/10/2006 23:45,8
2/10/2006 00:00,16
2/10/2006 00:15,11
2/10/2006 00:30,6
2/10/2006 00:45,7
2/10/2006 01:00,5
2/10/2006 01:15,6
2/10/2006 01:30,1
2/10/2006 01:45,3
2/10/2006 02:00,5
2/10/2006 02:15,3
2/10/2006 02:30,6
2/10/2006 02:45,3
2/10/2006 03:00,4
2/10/2006 03:15,6
2/10/2006 03:30,2
2/10/2006 03:45,3
2/10/2006 04:00,6
2/10/2006 04:15,9
2/10/2006 04:30,10
2/10/2006 04:45,10
