15 Minutes,Lane 1 Flow (Veh/15 Minutes)
2/10/2006 00:00,5
2/10/2006 00:15,4
2/10/2006 00:30,4
2/10/2006 00:45,3
2/10/2006 01:00,5
2/10/2006 01:15,3
2/10/2006 01:30,2
2/10/2006 01:45,1
2/10/2006 02:00,3
2/10/2006 02:15,1
2/10/2006 02:30,6
2/10/2006 02:45,0
2/10/2006 03:00,2
2/10/2006 03:15,3
2/10/2006 03:30,3
2/10/2006 03:45,3
2/10/2006 04:00,1
2/10/2006 04:15,3
2/10/2006 04:30,5
2/10/2006 04:45,4
2/10/2006 05:00,2
2/10/2006 05:15,0
2/10/2006 05:30,8
2/10/2006 05:45,11
2/10/2006 06:00,20
2/10/2006 06:15,18
2/10/2006 06:30,33
2/10/2006 06:45,48
2/10/2006 07:00,61
2/10/2006 07:15,66
2/10/2006 07:30,110
2/10/2006 07:45,111
2/10/2006 08:00,130
2/10/2006 08:15,120
2/10/2006 08:30,99
2/10/2006 08:45,109
2/10/2006 09:00,72
2/10/2006 09:15,97
2/10/2006 09:30,87
2/10/2006 09:45,81
2/10/2006 10:00,84
2/10/2006 10:15,78
2/10/2006 10:30,76
2/10/2006 10:45,76
2/10/2006 11:00,80
2/10/2006 11:15,88
2/10/2006 11:30,88
2/10/2006 11:45,77
2/10/2006 12:00,67
2/10/2006 12:15,77
2/10/2006 12:30,82
2/10/2006 12:45,75
2/10/2006 13:00,71
2/10/2006 13:15,69
2/10/2006 13:30,47
2/10/2006 13:45,64
2/10/2006 14:00,75
2/10/2006 14:15,58
2/10/2006 14:30,75
2/10/2006 14:45,75
2/10/2006 15:00,79
2/10/2006 15:15,91
2/10/2006 15:30,85
2/10/2006 15:45,85
2/10/2006 16:00,80
2/10/2006 16:15,89
2/10/2006 16:30,77
2/10/2006 16:45,94
2/10/2006 17:00,130
2/10/2006 17:15,122
2/10/2006 17:30,140
2/10/2006 17:45,112
2/10/2006 18:00,118
2/10/2006 18:15,100
2/10/2006 18:30,87
2/10/2006 18:45,62
2/10/2006 19:00,57
2/10/2006 19:15,64
2/10/2006 19:30,58
2/10/2006 19:45,54
2/10/2006 20:00,27
2/10/2006 20:15,37
