15 Minutes,Lane 1 Flow (Veh/15 Minutes)
1/10/2006 00:00,23
1/10/2006 00:15,21
1/10/2006 00:30,23
1/10/2006 00:45,20
1/10/2006 01:00,18
1/10/2006 01:15,10
1/10/2006 01:30,12
1/10/2006 01:45,9
1/10/2006 02:00,6
1/10/2006 02:15,6
1/10/2006 02:30,4
1/10/2006 02:45,7
1/10/2006 03:00,5
1/10/2006 03:15,9
1/10/2006 03:30,6
1/10/2006 03:45,4
1/10/2006 04:00,7
1/10/2006 04:15,7
1/10/2006 04:30,10
1/10/2006 04:45,5
1/10/2006 05:00,3
1/10/2006 05:15,5
1/10/2006 05:30,5
1/10/2006 05:45,4
1/10/2006 06:00,4
1/10/2006 06:15,14
1/10/2006 06:30,16
1/10/2006 06:45,17
1/10/2006 07:00,18
1/10/2006 07:15,12
1/10/2006 07:30,24
1/10/2006 07:45,19
1/10/2006 08:00,28
1/10/2006 08:15,18
1/10/2006 08:30,31
1/10/2006 08:45,43
1/10/2006 09:00,34
1/10/2006 09:15,41
1/10/2006 09:30,39
1/10/2006 09:45,53
1/10/2006 10:00,67
1/10/2006 10:15,72
1/10/2006 10:30,61
1/10/2006 10:45,46
1/10/2006 11:00,69
1/10/2006 11:15,63
1/10/2006 11:30,70
1/10/2006 11:45,76
1/10/2006 12:00,70
1/10/2006 12:15,77
1/10/2006 12:30,77
1/10/2006 12:45,69
1/10/2006 13:00,68
1/10/2006 13:15,75
1/10/2006 13:30,59
1/10/2006 13:45,76
1/10/2006 14:00,69
1/10/2006 14:15,76
1/10/2006 14:30,59
1/10/2006 14:45,72
1/10/2006 15:00,71
1/10/2006 15:15,76
1/10/2006 15:30,80
1/10/2006 15:45,67
1/10/2006 16:00,69
1/10/2006 16:15,91
1/10/2006 16:30,88
1/10/2006 16:45,89
1/10/2006 17:00,81
1/10/2006 17:15,92
1/10/2006 17:30,89
1/10/2006 17:45,71
1/10/2006 18:00,70
1/10/2006 18:15,66
1/10/2006 18:30,77
1/10/2006 18:45,74
1/10/2006 19:00,44
1/10/2006 19:15,40
1/10/2006 19:30,32
1/10/2006 19:45,47
1/10/2006 20:00,30
1/10/2006 20:15,32
1/10/2006 20:30,41
1/10/2006 20:45,37
1/10/2006 21:00,51
1/10/2006 21:15,37
