15 Minutes,Lane 1 Flow (Veh/15 Minutes)
1/10/2006 00:00,44
1/10/2006 00:15,50
1/10/2006 00:30,49
1/10/2006 00:45,42
1/10/2006 01:00,31
1/10/2006 01:15,44
1/10/2006 01:30,33
1/10/2006 01:45,30
1/10/2006 02:00,33
1/10/2006 02:15,29
1/10/2006 02:30,33
1/10/2006 02:45,23
1/10/2006 03:00,26
1/10/2006 03:15,26
1/10/2006 03:30,31
1/10/2006 03:45,21
1/10/2006 04:00,17
1/10/2006 04:15,17
1/10/2006 04:30,22
1/10/2006 04:45,17
1/10/2006 05:00,17
1/10/2006 05:15,16
1/10/2006 05:30,28
1/10/2006 05:45,26
1/10/2006 06:00,18
1/10/2006 06:15,24
1/10/2006 06:30,46
1/10/2006 06:45,41
1/10/2006 07:00,35
1/10/2006 07:15,46
1/10/2006 07:30,50
1/10/2006 07:45,67
1/10/2006 08:00,44
1/10/2006 08:15,50
1/10/2006 08:30,77
1/10/2006 08:45,105
1/10/2006 09:00,106
1/10/2006 09:15,127
1/10/2006 09:30,139
1/10/2006 09:45,148
1/10/2006 10:00,148
1/10/2006 10:15,162
1/10/2006 10:30,184
1/10/2006 10:45,159
1/10/2006 11:00,186
1/10/2006 11:15,165
1/10/2006 11:30,204
1/10/2006 11:45,228
1/10/2006 12:00,199
1/10/2006 12:15,217
1/10/2006 12:30,224
1/10/2006 12:45,232
1/10/2006 13:00,210
1/10/2006 13:15,237
1/10/2006 13:30,238
1/10/2006 13:45,229
1/10/2006 14:00,198
1/10/2006 14:15,215
1/10/2006 14:30,228
1/10/2006 14:45,230
1/10/2006 15:00,191
1/10/2006 15:15,218
1/10/2006 15:30,228
1/10/2006 15:45,248
1/10/2006 16:00,224
1/10/2006 16:15,204
1/10/2006 16:30,220
1/10/2006 16:45,192
1/10/2006 17:00,187
1/10/2006 17:15,187
1/10/2006 17:30,181
1/10/2006 17:45,205
1/10/2006 18:00,166
1/10/2006 18:15,129
1/10/2006 18:30,159
1/10/2006 18:45,109
1/10/2006 19:00,85
1/10/2006 19:15,98
1/10/2006 19:30,93
1/10/2006 19:45,57
1/10/2006 20:00,51
1/10/2006 20:15,50
1/10/2006 20:30,53
1/10/2006 20:45,46
1/10/2006 21:00,61
1/10/2006 21:15,56
1/10/2006 21:30,56
1/10/2006 21:45,45
1/10/2006 22:00,70
1/10/2006 22:15,51
1/10/2006 22:30,43
1/10/2006 22:45,49
1/10/2006 23:00,37
1/10/2006 23:15,37
1/10/2006 23:30,31
1/10/2006 23:45,22
2/10/2006 00:00,14
2/10/2006 00:15,22
2/10/2006 00:30,11
2/10/2006 00:45,11
2/10/2006 01:00,12
2/10/2006 01:15,4
2/10/2006 01:30,11
2/10/2006 01:45,10
2/10/2006 02:00,10
2/10/2006 02:15,17
2/10/2006 02:30,6
2/10/2006 02:45,11
2/10/2006 03:00,5
2/10/2006 03:15,6
2/10/2006 03:30,9
2/10/2006 03:45,13
2/10/2006 04:00,11
2/10/2006 04:15,15
2/10/2006 04:30,22
2/10/2006 04:45,18
2/10/2006 05:00,16
2/10/2006 05:15,24
2/10/2006 05:30,35
2/10/2006 05:45,68
2/10/2006 06:00,61
2/10/2006 06:15,86
2/10/2006 06:30,141
2/10/2006 06:45,183
2/10/2006 07:00,223
2/10/2006 07:15,329
2/10/2006 07:30,320
2/10/2006 07:45,351
2/10/2006 08:00,309
2/10/2006 08:15,313
2/10/2006 08:30,338
2/10/2006 08:45,364
2/10/2006 09:00,325
2/10/2006 09:15,227
2/10/2006 09:30,210
2/10/2006 09:45,195
2/10/2006 10:00,180
2/10/2006 10:15,177
2/10/2006 10:30,178
2/10/2006 10:45,178
2/10/2006 11:00,172
2/10/2006 11:15,170
2/10/2006 11:30,163
2/10/2006 11:45,200
2/10/2006 12:00,174
2/10/2006 12:15,179
2/10/2006 12:30,157
2/10/2006 12:45,183
2/10/2006 13:00,171
2/10/2006 13:15,183
2/10/2006 13:30,182
2/10/2006 13:45,162
2/10/2006 14:00,167
2/10/2006 14:15,168
2/10/2006 14:30,142
2/10/2006 14:45,179
2/10/2006 15:00,174
2/10/2006 15:15,179
2/10/2006 15:30,177
2/10/2006 15:45,184
2/10/2006 16:00,173
2/10/2006 16:15,140
2/10/2006 16:30,156
2/10/2006 16:45,176
2/10/2006 17:00,152
2/10/2006 17:15,181
2/10/2006 17:30,246
2/10/2006 17:45,198
2/10/2006 18:00,175
2/10/2006 18:15,160
2/10/2006 18:30,186
2/10/2006 18:45,174
2/10/2006 19:00,139
2/10/2006 19:15,101
2/10/2006 19:30,110
2/10/2006 19:45,104
2/10/2006 20:00,90
2/10/2006 20:15,72
2/10/2006 20:30,76
2/10/2006 20:45,59
2/10/2006 21:00,69
2/10/2006 21:15,63
2/10/2006 21:30,67
2/10/2006 21:45,59
2/10/2006 22:00,53
2/10/2006 22:15,54
2/10/2006 22:30,51
2/10/2006 22:45,50
2/10/2006 23:00,40
2/10/2006 23:15,25
2/10/2006 23:30,23
2/10/2006 23:45,16
3/10/2006 00:00,14
3/10/2006 00:15,16
3/10/2006 00:30,10
3/10/2006 00:45,10
3/10/2006 01:00,9
3/10/2006 01:15,12
3/10/2006 01:30,5
3/10/2006 01:45,7
3/10/2006 02:00,7
3/10/2006 02:15,5
3/10/2006 02:30,0
3/10/2006 02:45,6
3/10/2006 03:00,5
3/10/2006 03:15,6
3/10/2006 03:30,7
3/10/2006 03:45,10
3/10/2006 04:00,10
3/10/2006 04:15,11
3/10/2006 04:30,13
3/10/2006 04:45,12
3/10/2006 05:00,22
3/10/2006 05:15,37
3/10/2006 05:30,50
3/10/2006 05:45,69
3/10/2006 06:00,71
3/10/2006 06:15,101
3/10/2006 06:30,157
3/10/2006 06:45,195
3/10/2006 07:00,256
3/10/2006 07:15,298
3/10/2006 07:30,351
3/10/2006 07:45,311
3/10/2006 08:00,303
3/10/2006 08:15,312
3/10/2006 08:30,327
3/10/2006 08:45,348
3/10/2006 09:00,347
3/10/2006 09:15,288
3/10/2006 09:30,227
3/10/2006 09:45,187
3/10/2006 10:00,197
3/10/2006 10:15,180
3/10/2006 10:30,168
3/10/2006 10:45,185
3/10/2006 11:00,201
3/10/2006 11:15,190
3/10/2006 11:30,161
3/10/2006 11:45,170
3/10/2006 12:00,172
3/10/2006 12:15,179
3/10/2006 12:30,202
3/10/2006 12:45,193
3/10/2006 13:00,185
3/10/2006 13:15,171
3/10/2006 13:30,185
3/10/2006 13:45,182
3/10/2006 14:00,173
3/10/2006 14:15,182
3/10/2006 14:30,167
3/10/2006 14:45,167
3/10/2006 15:00,186
3/10/2006 15:15,185
3/10/2006 15:30,174
3/10/2006 15:45,193
3/10/2006 16:00,141
3/10/2006 16:15,172
3/10/2006 16:30,173
3/10/2006 16:45,184
3/10/2006 17:00,180
3/10/2006 17:15,179
3/10/2006 17:30,219
3/10/2006 17:45,218
3/10/2006 18:00,205
3/10/2006 18:15,190
3/10/2006 18:30,143
3/10/2006 18:45,164
3/10/2006 19:00,130
3/10/2006 19:15,140
3/10/2006 19:30,121
3/10/2006 19:45,115
3/10/2006 20:00,95
3/10/2006 20:15,80
3/10/2006 20:30,96
3/10/2006 20:45,89
3/10/2006 21:00,94
3/10/2006 21:15,75
3/10/2006 21:30,81
3/10/2006 21:45,62
3/10/2006 22:00,46
3/10/2006 22:15,59
3/10/2006 22:30,60
3/10/2006 22:45,53
3/10/2006 23:00,45
3/10/2006 23:15,41
3/10/2006 23:30,28
3/10/2006 23:45,17
4/10/2006 00:00,25
4/10/2006 00:15,13
4/10/2006 00:30,10
4/10/2006 00:45,18
4/10/2006 01:00,8
4/10/2006 01:15,6
4/10/2006 01:30,8
4/10/2006 01:45,10
4/10/2006 02:00,7
4/10/2006 02:15,6
4/10/2006 02:30,3
4/10/2006 02:45,5
4/10/2006 03:00,11
4/10/2006 03:15,8
4/10/2006 03:30,12
4/10/2006 03:45,10
4/10/2006 04:00,10
4/10/2006 04:15,12
4/10/2006 04:30,19
4/10/2006 04:45,9
4/10/2006 05:00,18
4/10/2006 05:15,34
4/10/2006 05:30,40
4/10/2006 05:45,67
4/10/2006 06:00,71
4/10/2006 06:15,104
4/10/2006 06:30,183
4/10/2006 06:45,236
4/10/2006 07:00,260
4/10/2006 07:15,270
4/10/2006 07:30,287
4/10/2006 07:45,351
4/10/2006 08:00,322
4/10/2006 08:15,349
4/10/2006 08:30,298
4/10/2006 08:45,348
4/10/2006 09:00,316
4/10/2006 09:15,312
4/10/2006 09:30,223
4/10/2006 09:45,221
4/10/2006 10:00,192
4/10/2006 10:15,204
4/10/2006 10:30,193
4/10/2006 10:45,185
4/10/2006 11:00,164
4/10/2006 11:15,190
4/10/2006 11:30,183
4/10/2006 11:45,199
4/10/2006 12:00,185
4/10/2006 12:15,193
4/10/2006 12:30,186
4/10/2006 12:45,193
4/10/2006 13:00,191
4/10/2006 13:15,181
4/10/2006 13:30,168
4/10/2006 13:45,191
4/10/2006 14:00,182
4/10/2006 14:15,186
4/10/2006 14:30,177
4/10/2006 14:45,173
4/10/2006 15:00,171
4/10/2006 15:15,185
4/10/2006 15:30,190
4/10/2006 15:45,184
4/10/2006 16:00,170
4/10/2006 16:15,181
4/10/2006 16:30,182
4/10/2006 16:45,187
4/10/2006 17:00,195
4/10/2006 17:15,193
4/10/2006 17:30,211
4/10/2006 17:45,218
4/10/2006 18:00,210
4/10/2006 18:15,165
4/10/2006 18:30,164
4/10/2006 18:45,164
4/10/2006 19:00,145
4/10/2006 19:15,139
4/10/2006 19:30,118
4/10/2006 19:45,132
4/10/2006 20:00,88
4/10/2006 20:15,91
4/10/2006 20:30,94
4/10/2006 20:45,117
4/10/2006 21:00,99
4/10/2006 21:15,81
4/10/2006 21:30,86
4/10/2006 21:45,66
4/10/2006 22:00,70
4/10/2006 22:15,64
4/10/2006 22:30,74
4/10/2006 22:45,55
4/10/2006 23:00,48
4/10/2006 23:15,37
4/10/2006 23:30,30
4/10/2006 23:45,35
5/10/2006 00:00,23
5/10/2006 00:15,16
5/10/2006 00:30,20
5/10/2006 00:45,13
5/10/2006 01:00,16
5/10/2006 01:15,8
5/10/2006 01:30,14
5/10/2006 01:45,10
5/10/2006 02:00,10
5/10/2006 02:15,9
5/10/2006 02:30,5
5/10/2006 02:45,9
5/10/2006 03:00,11
5/10/2006 03:15,9
5/10/2006 03:30,10
5/10/2006 03:45,17
5/10/2006 04:00,10
5/10/2006 04:15,16
5/10/2006 04:30,19
5/10/2006 04:45,15
5/10/2006 05:00,20
5/10/2006 05:15,37
5/10/2006 05:30,43
5/10/2006 05:45,80
5/10/2006 06:00,58
5/10/2006 06:15,103
5/10/2006 06:30,161
5/10/2006 06:45,199
5/10/2006 07:00,269
5/10/2006 07:15,330
5/10/2006 07:30,350
5/10/2006 07:45,328
